hex,lat,lon,n_focos,brillo_medio,brillo_max,frp_medio,frp_max,brillo_t31_medio,pct_noche,pct_verano,pct_conf_alta,n_anios_activo,mes_pico,elevacion,temp_media,precip_anual,viento_medio,humedad_relativa,cobertura_veg,dist_asentamiento_km,dist_ruta_km
85cfa41bfffffff,-51.961,-69.156,1.0,295.81,295.81,0.74,0.74,273.14,1.0,1.0,0.0,1.0,12.0,68.0,6.25,434.35,6.7,77.92,pastizal,35.68,20.207
85cfa443fffffff,-51.762,-68.828,1.0,304.64,304.64,0.95,0.95,262.66,1.0,0.0,0.0,1.0,3.0,0.0,6.69,452.6,7.16,78.92,agua,28.485,18.475
85cfa473fffffff,-51.664,-69.245,87.0,323.169,356.65,3.776,14.55,285.659,0.414,0.414,0.0,12.0,12.0,17.0,6.81,408.8,6.69,74.99,pastizal,4.451,0.28
85cfa47bfffffff,-51.564,-69.081,3.0,302.857,311.25,0.863,1.08,273.39,1.0,0.0,0.0,2.0,6.0,38.0,6.81,408.8,6.69,74.99,pastizal,10.963,6.885
85cfa487fffffff,-52.259,-69.656,29.0,301.566,312.58,0.883,1.71,270.492,1.0,0.0,0.0,2.0,4.0,218.0,6.24,452.6,7.19,80.55,pastizal,75.911,16.131
85cfa48bfffffff,-52.21,-69.278,1.0,298.25,298.25,0.54,0.54,271.54,1.0,1.0,0.0,1.0,1.0,53.0,6.24,452.6,7.19,80.55,pastizal,63.521,18.245
85cfa48ffffffff,-52.16,-69.489,5.0,299.014,302.63,0.746,0.9,270.134,1.0,0.0,0.0,2.0,7.0,162.0,6.24,452.6,7.19,80.55,pastizal,61.287,2.972
85cfa497fffffff,-52.409,-69.613,1.0,306.34,306.34,1.07,1.07,271.08,1.0,0.0,0.0,1.0,6.0,10.0,6.24,452.6,7.19,80.55,pastizal,90.203,30.412
85cfa4b3fffffff,-52.209,-69.868,37.0,321.825,338.99,2.629,6.76,273.542,0.784,0.081,0.0,8.0,9.0,161.0,5.81,441.65,6.69,78.95,pastizal,78.137,25.053
85cfa4bbfffffff,-52.11,-69.7,5.0,312.636,336.95,2.064,4.75,274.44,0.6,0.4,0.0,3.0,5.0,189.0,5.81,441.65,6.69,78.95,pastizal,62.674,11.506
85cfa4c3fffffff,-52.159,-68.901,87.0,318.737,356.4,2.374,17.15,274.195,0.805,0.207,0.0,12.0,6.0,66.0,6.69,452.6,7.16,78.92,pastizal,60.928,42.377
85cfa4d3fffffff,-52.307,-68.856,3.0,325.09,340.68,4.96,9.53,275.953,0.333,0.0,0.0,2.0,6.0,31.0,6.69,452.6,7.16,78.92,pastizal,77.585,49.077
85cfa4d7fffffff,-52.258,-69.067,4.0,311.748,330.22,3.657,9.45,271.108,1.0,0.0,0.0,3.0,6.0,0.0,6.69,452.6,7.16,78.92,agua,69.212,33.672
85cfa507fffffff,-51.499,-71.042,3.0,344.55,353.57,8.95,11.11,306.273,0.0,1.0,0.0,1.0,2.0,269.0,5.77,397.85,6.72,75.94,pastizal,82.098,48.518
85cfa50bfffffff,-51.454,-70.663,1.0,342.91,342.91,15.29,15.29,290.93,0.0,0.0,0.0,1.0,4.0,190.0,5.77,397.85,6.72,75.94,matorral,100.198,44.112
85cfa50ffffffff,-51.401,-70.872,18.0,350.364,367.0,20.807,73.15,309.259,0.0,0.944,0.111,3.0,1.0,229.0,5.77,397.85,6.72,75.94,pastizal,95.645,38.07
85cfa527fffffff,-51.239,-71.498,1.0,337.2,337.2,4.4,4.4,282.93,0.0,0.0,0.0,1.0,5.0,463.0,4.57,470.85,6.96,80.62,pastizal,62.929,20.116
85cfa52bfffffff,-51.197,-71.119,1.0,331.67,331.67,5.33,5.33,280.55,0.0,0.0,0.0,1.0,8.0,315.0,4.57,470.85,6.96,80.62,matorral,87.685,18.683
