hex,lat,lon,n_focos,riesgo_alto,proba_oof,elevacion,temp_media,precip_anual,viento_medio,humedad_relativa,dist_asentamiento_km,dist_ruta_km,cobertura_veg
85cea463fffffff,-44.187,-71.145,7.0,0,0.3552848,677.0,4.83,959.95,5.55,83.58,17.697,32.646,pastizal
85cea467fffffff,-44.126,-71.325,14.0,0,0.29457012,927.0,4.83,959.95,5.55,83.58,6.845,39.596,pastizal
85cea477fffffff,-44.276,-71.293,44.0,0,0.338977,899.0,4.83,959.95,5.55,83.58,12.133,47.872,pastizal
85cea4a3fffffff,-44.693,-71.708,3.0,0,0.065960005,901.0,4.03,1120.55,3.66,87.88,63.148,103.594,bosque
85cea4abfffffff,-44.604,-71.558,5.0,0,0.20722604,595.0,4.03,1120.55,3.66,87.88,49.48,89.344,pastizal
85cea4affffffff,-44.543,-71.74,8.0,0,0.059814095,722.0,4.03,1120.55,3.66,87.88,50.091,94.038,bosque
85cea50bfffffff,-44.056,-72.345,4.0,0,0.015929839,567.0,5.88,1492.85,2.15,88.91,79.436,108.85,bosque
85cea50ffffffff,-43.993,-72.525,12.0,0,0.031194681,25.0,5.88,1492.85,2.15,88.91,95.026,110.156,bosque
85cea513fffffff,-44.295,-72.467,2.0,0,0.01804865,387.0,5.88,1492.85,2.15,88.91,88.741,131.559,bosque
85cea52ffffffff,-43.715,-72.914,1.0,0,0.17241886,621.0,8.82,1558.55,3.31,86.4,118.572,111.405,bosque
85cea537fffffff,-43.954,-73.039,4.0,0,0.018530583,826.0,8.82,1558.55,3.31,86.4,134.936,135.055,bosque
85cea547fffffff,-43.968,-72.194,21.0,0,0.10097793,124.0,4.87,1113.25,2.88,86.08,70.289,94.991,bosque
85cea54bfffffff,-43.943,-71.865,1.0,0,0.10189251,1277.0,4.87,1113.25,2.88,86.08,47.8,76.261,bosque
85cea54ffffffff,-43.881,-72.045,148.0,0,0.026985664,782.0,4.87,1113.25,2.88,86.08,60.386,81.764,bosque
85cea55bfffffff,-44.093,-71.834,21.0,0,0.39878628,851.0,4.87,1113.25,2.88,86.08,38.577,77.023,bosque
85cea563fffffff,-43.755,-72.404,11.0,0,0.011004402,1162.0,5.88,1492.85,2.15,88.91,79.504,83.121,pastizal
85cea56bfffffff,-43.668,-72.254,23.0,0,0.054842312,1540.0,5.88,1492.85,2.15,88.91,65.288,68.02,bosque
85cea56ffffffff,-43.605,-72.433,4.0,0,0.010926819,1240.0,5.88,1492.85,2.15,88.91,78.484,72.777,bosque
85cea573fffffff,-43.906,-72.374,20.0,0,0.032083124,71.0,5.88,1492.85,2.15,88.91,83.979,95.356,bosque
85cea57bfffffff,-43.818,-72.224,19.0,0,0.013359372,1188.0,5.88,1492.85,2.15,88.91,68.74,80.869,bosque
85cea583fffffff,-44.534,-72.59,4.0,0,0.015599909,866.0,5.7,1430.8,2.46,89.07,105.105,150.098,bosque
85cea58ffffffff,-44.383,-72.619,1.0,0,0.053413566,170.0,5.7,1430.8,2.46,89.07,102.432,146.077,bosque
85cea597fffffff,-44.622,-72.743,7.0,0,0.03275002,0.0,5.7,1430.8,2.46,89.07,120.137,165.322,bosque
85cea5c3fffffff,-44.42,-72.103,12.0,0,0.04140437,838.0,4.03,1120.55,3.66,87.88,64.504,109.757,bosque
85cea5dbfffffff,-44.481,-71.922,8.0,0,0.039778225,1131.0,4.03,1120.55,3.66,87.88,55.484,100.944,bosque
85cea603fffffff,-43.949,-70.207,1.0,0,0.011706982,1192.0,5.77,616.85,7.02,76.39,24.013,27.785,pastizal
85cea60bfffffff,-43.86,-70.064,1.0,0,0.020687677,1032.0,5.77,616.85,7.02,76.39,38.993,14.063,pastizal
85cea637fffffff,-43.771,-70.741,4.0,0,0.056379594,1317.0,6.16,744.6,5.29,76.76,31.565,12.499,pastizal
85cea63bfffffff,-43.742,-70.419,14.0,0,0.08447118,826.0,6.16,744.6,5.29,76.76,34.701,18.645,pastizal
85cea64bfffffff,-43.739,-69.604,1.0,0,0.029929249,734.0,5.77,616.85,7.02,76.39,77.807,3.297,pastizal
85cea663fffffff,-43.564,-70.134,1.0,0,0.012198407,915.0,6.57,657.0,6.3,74.31,55.393,4.292,pastizal
85cea687fffffff,-44.276,-70.46,2.0,0,0.034291264,824.0,7.3,602.25,6.71,73.29,24.728,4.48,pastizal
85cea6a3fffffff,-44.068,-70.674,3.0,0,0.006103576,915.0,5.67,799.35,6.41,78.47,6.216,3.259,pastizal
85cea6b7fffffff,-44.158,-70.819,2.0,0,0.014031827,845.0,5.67,799.35,6.41,78.47,21.22,15.416,pastizal
85cea6bbfffffff,-44.128,-70.495,1.0,0,0.028615745,686.0,5.67,799.35,6.41,78.47,8.479,0.051,pastizal
85cea843fffffff,-41.475,-73.639,17.0,0,0.0791187,45.0,10.71,1339.55,3.48,86.03,174.312,165.807,bosque
